# Class	Pfam Accession	Family	Summary
# 
Other Biosynthetic	PF11855		Protein of unknown function (DUF3375)
Other Biosynthetic	PF12395		Protein of unknown function
Other Biosynthetic	PF04867		Protein of unknown function (DUF643)
Other Biosynthetic	PF02040		Arsenical pump membrane protein
Other Biosynthetic	PF04261		Dyp-type peroxidase family
Other Biosynthetic	PF07221		N-acylglucosamine 2-epimerase (GlcNAc 2-epimerase)
Other Biosynthetic	PF06939		Protein of unknown function (DUF1286)
Other Biosynthetic	PF03069		Acetamidase/Formamidase family
Other Biosynthetic	PF09544		Protein of unknown function (DUF2381)
Other Biosynthetic	PF00317		Ribonucleotide reductase, all-alpha domain
Other Biosynthetic	PF12559		Serine endopeptidase inhibitors
Other Biosynthetic	PF00842		Alanine racemase, C-terminal domain
Other Biosynthetic	PF00166		Chaperonin 10 Kd subunit
Other Biosynthetic	PF11662		Protein of unknown function (DUF3263)
Other Biosynthetic	PF07724		AAA domain (Cdc48 subfamily)
Other Biosynthetic	PF01595		Domain of unknown function DUF21
Other Biosynthetic	PF06580		Histidine kinase
Other Biosynthetic	PF07560		Domain of Unknown Function (DUF1539)
Other Biosynthetic	PF11068		Protein of unknown function (DUF2869)
Other Biosynthetic	PF04263		Thiamin pyrophosphokinase, catalytic domain
Other Biosynthetic	PF10118		Predicted metal-dependent hydrolase
Other Biosynthetic	PF04885		Stigma-specific protein, Stig1
Other Biosynthetic	PF04083		ab-hydrolase associated lipase region
Other Biosynthetic	PF10686		Protein of unknown function (DUF2493)
Other Biosynthetic	PF03473		MOSC domain
Other Biosynthetic	PF02670		1-deoxy-D-xylulose 5-phosphate reductoisomerase
Transporter	PF00854	PTR2	POT family
Transporter	PF12822	ECF_trnsprt	ECF transporter, substrate-specific component
Transporter	PF00005	ABC_tran	ABC transporter
Transporter	PF00664	ABC_membrane	ABC transporter transmembrane region
Transporter	PF12698	ABC2_membrane_3	ABC-2 family transporter protein
Transporter	PF02653	BPD_transp_2	Branched-chain amino acid transport system / permease component
Transporter	PF01061	ABC2_membrane	ABC-2 type transporter
Transporter	PF01490	Aa_trans	Transmembrane amino acid transporter protein
Transporter	PF03169	OPT	OPT oligopeptide transporter protein
Transporter	PF04392	ABC_sub_bind	ABC transporter substrate binding protein
Transporter	PF05975	EcsB	Bacterial ABC transporter protein EcsB
Transporter	PF06472	ABC_membrane_2	ABC transporter transmembrane region 2
Transporter	PF08352	oligo_HPY	Oligopeptide/dipeptide transporter, C-terminal region
Transporter	PF08370	PDR_assoc	Plant PDR ABC transporter associated
Transporter	PF08403	AA_permease_N	Amino acid permease N-terminal
Transporter	PF12911	OppC_N	N-terminal TM domain of oligopeptide transport permease C
Transporter	PF13346	ABC2_membrane_5	ABC-2 family transporter protein
Transporter	PF03547	Mem_trans	Membrane transport protein
Transporter	PF06182	ABC2_membrane_6	ABC-2 family transporter protein
Transporter	PF12399	BCA_ABC_TP_C	Branched-chain amino acid ATP-binding cassette transporter
Transporter	PF12679	ABC2_membrane_2	ABC-2 family transporter protein
Transporter	PF12730	ABC2_membrane_4	ABC-2 family transporter protein
Transporter	PF12832	MFS_1_like	MFS_1 like family
Transporter	PF12848	ABC_tran_2	ABC transporter
Transporter	PF13536	EmrE	Multidrug resistance efflux transporter
Transporter	PF13748	ABC_membrane_3	ABC transporter transmembrane region
Transporter	PF14510	ABC_trans_N	ABC-transporter extracellular N-terminal
#HTH clan:
Regulator	PF17194	AbiEi_3_N	
Regulator	PF13338	AbiEi_4	
Regulator	PF08672	ANAPC2	
Regulator	PF14557	AphA_like	
Regulator	PF01316	Arg_repressor	
Regulator	PF01388	ARID	
Regulator	PF04182	B-block_TFIIIC	
Regulator	PF08299	Bac_DnaA_C	
Regulator	PF08667	BetR	
Regulator	PF12298	Bot1p	
Regulator	PF09607	BrkDBD	
Regulator	PF09079	Cdc6_C	
Regulator	PF04218	CENP-B_N	
Regulator	PF09048	Cro	
Regulator	PF00325	Crp	
Regulator	PF10075	CSN8_PSD8_EIF3K	
Regulator	PF10557	Cullin_Nedd8	
Regulator	PF02376	CUT	
Regulator	PF09756	DDRGK	
Regulator	PF00610	DEP	
Regulator	PF08100	Dimerisation	
Regulator	PF16864	Dimerisation2	
Regulator	PF08679	DsrD	
Regulator	PF06576	DUF1133	
Regulator	PF06627	DUF1153	
Regulator	PF07037	DUF1323	
Regulator	PF02001	DUF134	
Regulator	PF07278	DUF1441	
Regulator	PF07374	DUF1492	
Regulator	PF07381	DUF1495	
Regulator	PF07900	DUF1670	
Regulator	PF08822	DUF1804	
Regulator	PF08876	DUF1836	
Regulator	PF08965	DUF1870	
Regulator	PF09862	DUF2089	
Regulator	PF10007	DUF2250	
Regulator	PF10078	DUF2316	
Regulator	PF10771	DUF2582	
Regulator	PF11313	DUF3116	
Regulator	PF11625	DUF3253	
Regulator	PF12964	DUF3853	
Regulator	PF12976	DUF3860	
Regulator	PF13048	DUF3908	
Regulator	PF04255	DUF433	
Regulator	PF14277	DUF4364	
Regulator	PF14590	DUF4447	
Regulator	PF04337	DUF480	
Regulator	PF05339	DUF739	
Regulator	PF05331	DUF742	
Regulator	PF06163	DUF977	
Regulator	PF02319	E2F_TDP	
Regulator	PF04157	EAP30	
Regulator	PF10390	ELL	
Regulator	PF05871	ESCRT-II	
Regulator	PF00178	Ets	
Regulator	PF07825	Exc	
Regulator	PF09645	F-112	
Regulator	PF04703	FaeA	
Regulator	PF02742	Fe_dep_repr_C	
Regulator	PF01325	Fe_dep_repress	
Regulator	PF09012	FeoC	
Regulator	PF02980	FokI_C	
Regulator	PF02981	FokI_N	
Regulator	PF00250	Forkhead	
Regulator	PF09397	Ftsk_gamma	
Regulator	PF01475	FUR	
Regulator	PF07750	GcrA	
Regulator	PF00196	GerE	
Regulator	PF00392	GntR	
Regulator	PF05066	HARE-HTH	
Regulator	PF06969	HemN_C	
Regulator	PF04814	HNF-1_N	
Regulator	PF00046	Homeobox	
Regulator	PF05920	Homeobox_KN	
Regulator	PF11569	Homez	
Regulator	PF05044	HPD	
Regulator	PF03444	HrcA_DNA-bdg	
Regulator	PF00447	HSF_DNA-bind	
Regulator	PF00126	HTH_1	
Regulator	PF04967	HTH_10	
Regulator	PF08279	HTH_11	
Regulator	PF08461	HTH_12	
Regulator	PF11972	HTH_13	
Regulator	PF12324	HTH_15	
Regulator	PF12645	HTH_16	
Regulator	PF12728	HTH_17	
Regulator	PF12833	HTH_18	
Regulator	PF12844	HTH_19	
Regulator	PF12840	HTH_20	
Regulator	PF13276	HTH_21	
Regulator	PF13309	HTH_22	
Regulator	PF13384	HTH_23	
Regulator	PF13412	HTH_24	
Regulator	PF13413	HTH_25	
Regulator	PF13443	HTH_26	
Regulator	PF13463	HTH_27	
Regulator	PF13518	HTH_28	
Regulator	PF13551	HTH_29	
Regulator	PF01381	HTH_3	
Regulator	PF13556	HTH_30	
Regulator	PF13560	HTH_31	
Regulator	PF13565	HTH_32	
Regulator	PF13592	HTH_33	
Regulator	PF13601	HTH_34	
Regulator	PF13693	HTH_35	
Regulator	PF13730	HTH_36	
Regulator	PF13744	HTH_37	
Regulator	PF13936	HTH_38	
Regulator	PF14090	HTH_39	
Regulator	PF14493	HTH_40	
Regulator	PF14502	HTH_41	
Regulator	PF06224	HTH_42	
Regulator	PF09904	HTH_43	
Regulator	PF14947	HTH_45	
Regulator	PF15977	HTH_46	
Regulator	PF16221	HTH_47	
Regulator	PF01022	HTH_5	
Regulator	PF01418	HTH_6	
Regulator	PF02796	HTH_7	
Regulator	PF02954	HTH_8	
Regulator	PF08221	HTH_9	
Regulator	PF00165	HTH_AraC	
Regulator	PF13404	HTH_AsnC-type	
Regulator	PF08222	HTH_CodY	
Regulator	PF13545	HTH_Crp_2	
Regulator	PF08220	HTH_DeoR	
Regulator	PF09339	HTH_IclR	
Regulator	PF08280	HTH_Mga	
Regulator	PF17007	HTH_micro	
Regulator	PF12323	HTH_OrfB_IS605	
Regulator	PF05225	HTH_psq	
Regulator	PF01527	HTH_Tnp_1	
Regulator	PF13022	HTH_Tnp_1_2	
Regulator	PF13613	HTH_Tnp_4	
Regulator	PF12759	HTH_Tnp_IS1	
Regulator	PF01710	HTH_Tnp_IS630	
Regulator	PF13542	HTH_Tnp_ISL3	
Regulator	PF02316	HTH_Tnp_Mu_1	
Regulator	PF09039	HTH_Tnp_Mu_2	
Regulator	PF11427	HTH_Tnp_Tc3_1	
Regulator	PF01498	HTH_Tnp_Tc3_2	
Regulator	PF03221	HTH_Tnp_Tc5	
Regulator	PF02650	HTH_WhiA	
Regulator	PF01638	HxlR	
Regulator	PF10416	IBD	
Regulator	PF04760	IF2_N	
Regulator	PF00605	IRF	
Regulator	PF03882	KicB	
Regulator	PF16509	KORA	
Regulator	PF08535	KorB	
Regulator	PF05383	La	
Regulator	PF00356	LacI	
Regulator	PF01726	LexA_DNA_bind	
Regulator	PF00538	Linker_histone	
Regulator	PF13011	LZ_Tnp_IS481	
Regulator	PF10545	MADF_DNA_bdg	
Regulator	PF01047	MarR	
Regulator	PF12802	MarR_2	
Regulator	PF00376	MerR	
Regulator	PF09278	MerR-DNA-bind	
Regulator	PF13411	MerR_1	
Regulator	PF13591	MerR_2	
Regulator	PF05043	Mga	
Regulator	PF03962	Mnd1	
Regulator	PF08765	Mor	
Regulator	PF09114	MotA_activ	
Regulator	PF15731	MqsA_antitoxin	
Regulator	PF12824	MRP-L20	
Regulator	PF08914	Myb_DNA-bind_2	
Regulator	PF12776	Myb_DNA-bind_3	
Regulator	PF13837	Myb_DNA-bind_4	
Regulator	PF13873	Myb_DNA-bind_5	
Regulator	PF13921	Myb_DNA-bind_6	
Regulator	PF15963	Myb_DNA-bind_7	
Regulator	PF00249	Myb_DNA-binding	
Regulator	PF06413	Neugrin	
Regulator	PF07453	NUMOD1	
Regulator	PF12872	OST-HTH	
Regulator	PF14549	P22_Cro	
Regulator	PF07848	PaaX	
Regulator	PF03551	PadR	
Regulator	PF00292	PAX	
Regulator	PF01399	PCI	
Regulator	PF03965	Penicillinase_R	
Regulator	PF05930	Phage_AlpA	
Regulator	PF06530	Phage_antitermQ	
Regulator	PF07022	Phage_CI_repr	
Regulator	PF05269	Phage_CII	
Regulator	PF09681	Phage_rep_org_N	
Regulator	PF10668	Phage_terminase	
Regulator	PF00157	Pou	
Regulator	PF03288	Pox_D5	
Regulator	PF09182	PuR_N	
Regulator	PF06971	Put_DNA-bind_N	
Regulator	PF09197	Rap1-DNA-bind	
Regulator	PF01051	Rep_3	
Regulator	PF04796	RepA_C	
Regulator	PF06970	RepA_N	
Regulator	PF06504	RepC	
Regulator	PF05732	RepL	
Regulator	PF13814	Replic_Relax	
Regulator	PF02257	RFX_DNA_binding	
Regulator	PF01090	Ribosomal_S19e	
Regulator	PF03297	Ribosomal_S25	
Regulator	PF09202	Rio2_N	
Regulator	PF05158	RNA_pol_Rpc34	
Regulator	PF03428	RP-C	
Regulator	PF10134	RPA	
Regulator	PF08784	RPA_C	
Regulator	PF09382	RQC	
Regulator	PF02082	Rrf2	
Regulator	PF02334	RTP	
Regulator	PF05491	RuvB_C	
Regulator	PF03399	SAC3_GANP	
Regulator	PF16282	SANT_DAMP1_like	
Regulator	PF16264	SatD	
Regulator	PF09105	SelB-wing_1	
Regulator	PF09106	SelB-wing_2	
Regulator	PF09107	SelB-wing_3	
Regulator	PF12793	SgrR_N	
Regulator	PF04963	Sigma54_CBD	
Regulator	PF04552	Sigma54_DBD	
Regulator	PF07638	Sigma70_ECF	
Regulator	PF04546	Sigma70_ner	
Regulator	PF04542	Sigma70_r2	
Regulator	PF04539	Sigma70_r3	
Regulator	PF04545	Sigma70_r4	
Regulator	PF08281	Sigma70_r4_2	
Regulator	PF09111	SLIDE	
Regulator	PF04079	SMC_ScpB	
Regulator	PF12116	SpoIIID	
Regulator	PF09170	STN1_2	
Regulator	PF05584	Sulfolobus_pRN	
Regulator	PF04433	SWIRM	
Regulator	PF07106	TBPIP	
Regulator	PF06056	Terminase_5	
Regulator	PF00440	TetR_N	
Regulator	PF02002	TFIIE_alpha	
Regulator	PF02186	TFIIE_beta	
Regulator	PF05793	TFIIF_alpha	
Regulator	PF02270	TFIIF_beta	
Regulator	PF08721	Tn7_Tnp_TnsA_C	
Regulator	PF09035	Tn916-Xis	
Regulator	PF07515	TraI_2_C	
Regulator	PF00486	Trans_reg_C	
Regulator	PF07042	TrfA	
Regulator	PF01978	TrmB	
Regulator	PF01371	Trp_repressor	
Regulator	PF04297	UPF0122	
Regulator	PF10400	Vir_act_alpha_C	
Regulator	PF15943	YdaS_antitoxin	
Regulator	PF09639	YjcQ	
Regulator	PF14122	YokU	
Regulator	PF02295	z-alpha	
# clan CheY
Regulator	PF06490	FleQ	
Regulator	PF03709	OKR_DC_1_N	
Regulator	PF09456	RcsC	
Regulator	PF00072	Response_reg	
Regulator	PF16968	TadZ_N	
# clan His_Kinase_A
Regulator	PF02895	H-kinase_dim	
Regulator	PF02518	HATPase_c	
Regulator	PF13581	HATPase_c_2	
Regulator	PF13589	HATPase_c_3	
Regulator	PF14501	HATPase_c_5	
Regulator	PF00512	HisKA	
Regulator	PF07568	HisKA_2	
Regulator	PF07730	HisKA_3	
Regulator	PF07536	HWE_HK	
